민원신청건명,제품명,접수번호,민원접수일자,부서접수일자,회사명,담당자,부서처리일자,처리기한,분리된민원사무명,서류배정 참고사항,DMF번호,심사자 확인,파일명
의약품품목허가-안유-기시-GMP(완제)-마이오캡점안액0.125%(아트로핀황산염)(1회용) ,마이오캡점안액0.125%(아트로핀황산염)(1회용),20240202504,2024-11-04,유니메드제약(주),1김세진,2025-03-03,2025-03-14,"대전청, 품질(원료약품 및 그 분량, 기준 및 시험방법, 제조방법 CTD, 원료-완제의약품 연계심사, 유전독성 및 금속불순물 등), 안정성, 동등성, 약동협의필요",20230725-211-J-1523(최초),20241105_민원배정.xlsx
의약품등의사전검토-기시에관한자료-의약품-그밖의의약품등-BR3007 25/5밀리그램 (가칭),BR3007 25/5밀리그램 (가칭),20240198817,2024-11-04,(주)보령,1권선옥,2025-01-21,2025-01-21,사전검토 기시 ,,20241105_민원배정.xlsx
의약품등의사전검토-기시에관한자료-의약품-기허가의약품등-JLP-2304 25/5밀리그램,2304 25/5밀리그램,20240201841,2024-11-04,제일약품(주),1노희정,2025-01-07,2025-01-07,"사전검토 기시, DMF 검토필요로 처리기한 연장 후 배정 예정, DMF 2건 검토로 추후 1회 면제 ","수173-23-ND(변경), 수434-41-ND(변경)",20241105_민원배정.xlsx
의약품등의사전검토-기시에관한자료-의약품-기허가의약품등-JLP-2304 10/5밀리그램,2304 10/5밀리그램,20240201908,2024-11-04,제일약품(주),1노희정,2025-01-07,2025-01-07,"사전검토 기시, DMF 검토필요로 처리기한 연장 후 배정 예정, DMF 2건 검토로 추후 1회 면제 ","수173-23-ND(변경), 수434-41-ND(변경)",20241105_민원배정.xlsx
의약품등의사전검토-기시에관한자료-의약품-기허가의약품등-힐로코모드점안액(히알루론산나트륨),힐로코모드점안액(히알루론산나트륨),20240151281,2024-11-04,(주)넥스팜코리아,1신제용,2025-01-07,2025-01-07,"사전검토 기시, 기준 및 시험방법의 타당성 및 특수용기의 적합성 질의, 안정성 기검토 : 장서정선생님",,20241105_민원배정.xlsx
"의약품등의사전검토-기시에관한자료-의약품-기허가의약품등-텔로핀셋정80/5/25밀리그램(텔미사르탄,암로디핀베실산염,클로르탈리돈)","텔로핀셋정80/5/25밀리그램(텔미사르탄,암로디핀베실산염,클로르탈리돈)",20240194054,2024-11-04,(주)제뉴파마,1신혜지,2025-01-07,2025-01-07,"사전검토 기시, DMF 검토필요로 처리기한 연장 후 배정 예정, DMF 2건 검토로 추후 1회 면제 ","20180706-209-J-112(변경)(신혜지선생님 검토 중), 20121113-130-H-244-41(변경)(조혜주선생님 검토 중)",20241105_민원배정.xlsx
"의약품품목변경허가-로수듀오정10/10밀리그램(에제티미브, 로수바스타틴칼슘)","로수듀오정10/10밀리그램(에제티미브, 로수바스타틴칼슘)",20240191202,2024-10-16,에이치엘비제약(주),2조혜주,2025-02-20,2025-02-25,"서울청, 품질(원료별규, 제조방법 CTD변경), 원료-완제의약품 연계심사, DMF 2건 심사로 추후 1회 면제",수173-31-ND(변경). 20190220-209-J-215(변경)(첨품 검토 중),20241105_민원배정.xlsx
의약품품목변경허가-영진멀타자핀정30밀리그램(미르타자핀),영진멀타자핀정30밀리그램(미르타자핀),20240196412,2024-10-30,영진약품(주),2김철용,2025-02-27,2025-03-11,"경인청, 품질(제조방법 CTD 변경, 원료-완제 연계심사)",20201022-209-J-571(변경),20241105_민원배정.xlsx
의약품품목변경허가-안유-영진멀타자핀정7.5밀리그램(미르타자핀),영진멀타자핀정7.5밀리그램(미르타자핀),20240144682,2024-10-30,영진약품(주),2김철용,2025-02-27,2025-03-11,"경인청, 품질(제조방법CTD 변경, 원료-완제 연계심사)",20201022-209-J-571(변경),20241105_민원배정.xlsx
의약품품목변경허가-아로반정20밀리그램(아토르바스타틴칼슘삼수화물),아로반정20밀리그램(아토르바스타틴칼슘삼수화물),20240189274,2024-10-31,영일제약(주),2황수정,2025-02-28,2025-03-12,"대전청, 품질(제조방법 CTD 전환 등), 완제-원료의약품 연계심사",20130618-132-H-238-23(변경)(임대곤선생님 검토 중),20241105_민원배정.xlsx
